open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume,return
59.0,59.04,61.1,58.12,14777.0,88015952.0,2022,4,13,15,0,2022-04-13 15:00,14777.0,-0.0006779661016949008
59.24,58.85,59.85,57.8,15021.0,88097784.0,2022,4,14,15,0,2022-04-14 15:00,15021.0,0.006583389601620536
58.08,56.26,58.42,56.01,22197.0,126561224.0,2022,4,15,15,0,2022-04-15 15:00,22197.0,0.03133608815426998
56.0,60.09,60.66,55.73,30077.0,177821616.0,2022,4,18,15,0,2022-04-18 15:00,30077.0,-0.07303571428571434
59.52,60.16,60.5,59.0,16412.0,97777288.0,2022,4,19,15,0,2022-04-19 15:00,16412.0,-0.0107526881720429
59.88,59.24,62.22,59.23,16283.0,98897168.0,2022,4,20,15,0,2022-04-20 15:00,16283.0,0.010688042752171018
57.28,57.0,59.0,56.84,17588.0,101421528.0,2022,4,21,15,0,2022-04-21 15:00,17588.0,0.004888268156424601
56.59,55.55,57.94,55.52,13820.0,77917360.0,2022,4,22,15,0,2022-04-22 15:00,13820.0,0.018377805265948156
55.2,50.0,55.2,50.0,26103.0,135984720.0,2022,4,25,15,0,2022-04-25 15:00,26103.0,0.09420289855072468
50.5,47.3,51.11,47.03,19901.0,97930896.0,2022,4,26,15,0,2022-04-26 15:00,19901.0,0.06336633663366342
46.98,49.88,50.1,46.59,22862.0,110140624.0,2022,4,27,15,0,2022-04-27 15:00,22862.0,-0.061728395061728523
50.66,48.59,51.0,48.42,15866.0,78376592.0,2022,4,28,15,0,2022-04-28 15:00,15866.0,0.04086063955783643
49.5,51.86,52.2,48.83,18942.0,96317512.0,2022,4,29,15,0,2022-04-29 15:00,18942.0,-0.047676767676767665
51.38,52.9,54.0,51.34,22621.0,118695328.0,2022,5,5,15,0,2022-05-05 15:00,22621.0,-0.02958349552354994
51.51,52.02,53.98,51.1,15844.0,83374160.0,2022,5,6,15,0,2022-05-06 15:00,15844.0,-0.00990099009901
51.8,53.01,53.51,51.58,10617.0,56256152.0,2022,5,9,15,0,2022-05-09 15:00,10617.0,-0.023359073359073376
52.12,53.48,54.35,52.05,14884.0,79652800.0,2022,5,10,15,0,2022-05-10 15:00,14884.0,-0.026093630084420557
54.0,52.92,55.2,52.8,21983.0,119322136.0,2022,5,11,15,0,2022-05-11 15:00,21983.0,0.01999999999999997
52.35,53.9,54.96,52.27,18016.0,97132600.0,2022,5,12,15,0,2022-05-12 15:00,18016.0,-0.029608404966571102
54.5,52.89,54.5,52.86,13131.0,70020504.0,2022,5,13,15,0,2022-05-13 15:00,13131.0,0.029541284403669713
53.96,53.97,56.49,53.41,19683.0,107725568.0,2022,5,16,15,0,2022-05-16 15:00,19683.0,-0.0001853224610822463
53.11,54.28,54.76,53.1,13872.0,75069816.0,2022,5,17,15,0,2022-05-17 15:00,13872.0,-0.022029749576351003
54.54,53.9,55.48,53.41,13875.0,75429936.0,2022,5,18,15,0,2022-05-18 15:00,13875.0,0.011734506784011745
53.02,55.06,55.18,52.75,18294.0,99571904.0,2022,5,19,15,0,2022-05-19 15:00,18294.0,-0.038476046774801945
54.73,55.3,55.99,54.44,15244.0,83994952.0,2022,5,20,15,0,2022-05-20 15:00,15244.0,-0.01041476338388453
55.55,56.99,57.02,55.22,22374.0,126410560.0,2022,5,23,15,0,2022-05-23 15:00,22374.0,-0.02592259225922601
56.53,53.04,56.98,52.98,24946.0,136976224.0,2022,5,24,15,0,2022-05-24 15:00,24946.0,0.06173713072704762
53.05,53.72,54.98,52.86,14959.0,80271760.0,2022,5,25,15,0,2022-05-25 15:00,14959.0,-0.012629594721960447
53.19,53.67,54.3,51.71,19288.0,102160576.0,2022,5,26,15,0,2022-05-26 15:00,19288.0,-0.00902425267907509
54.03,53.0,54.48,52.68,14361.0,76578296.0,2022,5,27,15,0,2022-05-27 15:00,14361.0,0.019063483250046292
53.49,55.09,55.47,53.08,23353.0,127590496.0,2022,5,30,15,0,2022-05-30 15:00,23353.0,-0.02991213310899236
55.32,56.6,57.83,54.2,26399.0,148341392.0,2022,5,31,15,0,2022-05-31 15:00,26399.0,-0.023138105567606673
56.55,58.04,58.39,55.8,28274.0,162647888.0,2022,6,1,15,0,2022-06-01 15:00,28274.0,-0.0263483642793988
57.89,61.86,63.99,57.08,53911.0,327409056.0,2022,6,2,15,0,2022-06-02 15:00,53911.0,-0.06857833822767315
62.98,68.7,71.92,61.86,82129.0,544498624.0,2022,6,6,15,0,2022-06-06 15:00,82129.0,-0.09082248332804074
68.3,69.28,71.07,67.21,47824.0,330294976.0,2022,6,7,15,0,2022-06-07 15:00,47824.0,-0.014348462664714554
69.28,67.75,69.5,65.95,38889.0,262437424.0,2022,6,8,15,0,2022-06-08 15:00,38889.0,0.022084295612009253
67.06,64.1,67.86,63.69,36660.0,238944640.0,2022,6,9,15,0,2022-06-09 15:00,36660.0,0.04413957649865804
64.0,64.51,64.74,63.02,54132.0,345540160.0,2022,6,10,15,0,2022-06-10 15:00,54132.0,-0.00796875000000008
63.9,64.0,65.58,63.02,42554.0,274067456.0,2022,6,13,15,0,2022-06-13 15:00,42554.0,-0.0015649452269170803
63.15,63.31,63.88,60.79,29962.0,186127808.0,2022,6,14,15,0,2022-06-14 15:00,29962.0,-0.0025336500395883406
63.61,62.52,65.24,62.52,33759.0,215703616.0,2022,6,15,15,0,2022-06-15 15:00,33759.0,0.01713567049206094
63.48,64.1,64.93,62.9,22182.0,142093312.0,2022,6,16,15,0,2022-06-16 15:00,22182.0,-0.009766855702583451
63.35,63.3,64.5,61.8,22194.0,139837120.0,2022,6,17,15,0,2022-06-17 15:00,22194.0,0.0007892659826362157
63.45,62.6,64.27,62.28,19351.0,121774240.0,2022,6,20,15,0,2022-06-20 15:00,19351.0,0.01339637509850278
62.66,62.36,63.85,61.96,22190.0,139375120.0,2022,6,21,15,0,2022-06-21 15:00,22190.0,0.0047877433769549504
62.99,61.06,63.04,61.01,21757.0,134524000.0,2022,6,22,15,0,2022-06-22 15:00,21757.0,0.030639784092713125
61.2,64.3,64.55,61.07,31885.0,201433584.0,2022,6,23,15,0,2022-06-23 15:00,31885.0,-0.05065359477124173
64.29,66.3,67.51,63.84,35657.0,235108704.0,2022,6,24,15,0,2022-06-24 15:00,35657.0,-0.031264582361175776
67.09,66.44,68.59,66.4,29208.0,196657424.0,2022,6,27,15,0,2022-06-27 15:00,29208.0,0.009688478163660839
66.34,67.0,67.43,65.25,22959.0,151890736.0,2022,6,28,15,0,2022-06-28 15:00,22959.0,-0.009948748869460304
67.0,65.86,68.1,65.82,27666.0,185193936.0,2022,6,29,15,0,2022-06-29 15:00,27666.0,0.017014925373134336
65.44,64.7,66.9,64.4,28592.0,186584064.0,2022,6,30,15,0,2022-06-30 15:00,28592.0,0.011308068459657624
64.0,62.68,64.69,61.94,34314.0,216123296.0,2022,7,1,15,0,2022-07-01 15:00,34314.0,0.020625000000000004
62.02,63.1,63.39,61.36,19899.0,124389920.0,2022,7,4,15,0,2022-07-04 15:00,19899.0,-0.01741373750403093
63.3,62.47,64.85,62.1,19426.0,122662928.0,2022,7,5,15,0,2022-07-05 15:00,19426.0,0.013112164296998394
62.66,63.2,64.87,62.03,26667.0,169755312.0,2022,7,6,15,0,2022-07-06 15:00,26667.0,-0.008617938078519091
63.3,61.66,63.77,61.65,19276.0,119776440.0,2022,7,7,15,0,2022-07-07 15:00,19276.0,0.025908372827804116
61.6,63.66,65.2,61.57,24156.0,153854736.0,2022,7,8,15,0,2022-07-08 15:00,24156.0,-0.03344155844155836
63.08,61.5,63.23,61.24,18476.0,114205440.0,2022,7,11,15,0,2022-07-11 15:00,18476.0,0.025047558655675307
61.7,60.2,61.84,60.11,16286.0,99017208.0,2022,7,12,15,0,2022-07-12 15:00,16286.0,0.02431118314424635
61.34,60.35,61.59,60.1,12285.0,74643456.0,2022,7,13,15,0,2022-07-13 15:00,12285.0,0.01613955004890776
59.99,60.27,61.34,59.85,12051.0,72846480.0,2022,7,14,15,0,2022-07-14 15:00,12051.0,-0.004667444574095701
60.49,60.1,61.93,60.03,13786.0,83893104.0,2022,7,15,15,0,2022-07-15 15:00,13786.0,0.006447346668870897
60.5,61.21,61.55,59.6,12078.0,73363088.0,2022,7,18,15,0,2022-07-18 15:00,12078.0,-0.011735537190082659
61.0,63.99,64.3,60.3,23256.0,145923760.0,2022,7,19,15,0,2022-07-19 15:00,23256.0,-0.049016393442622985
64.3,62.99,64.39,62.88,14954.0,95037200.0,2022,7,20,15,0,2022-07-20 15:00,14954.0,0.020373250388802413
63.09,63.4,65.4,63.09,21155.0,136359392.0,2022,7,21,15,0,2022-07-21 15:00,21155.0,-0.004913615469963467
63.92,62.28,64.24,61.65,14551.0,91040136.0,2022,7,22,15,0,2022-07-22 15:00,14551.0,0.025657071339173977
62.2,62.0,63.55,61.7,12339.0,76977840.0,2022,7,25,15,0,2022-07-25 15:00,12339.0,0.0032154340836013317
62.39,61.1,62.49,60.91,11750.0,72015824.0,2022,7,26,15,0,2022-07-26 15:00,11750.0,0.020676390447187037
61.19,61.69,63.6,60.73,13080.0,80790464.0,2022,7,27,15,0,2022-07-27 15:00,13080.0,-0.008171269815329302
61.55,62.82,63.88,61.5,20197.0,127104408.0,2022,7,28,15,0,2022-07-28 15:00,20197.0,-0.02063363119415115
63.51,61.0,63.56,61.0,14894.0,92115264.0,2022,7,29,15,0,2022-07-29 15:00,14894.0,0.03952133522279953
60.88,61.27,62.6,58.68,21444.0,130842160.0,2022,8,1,15,0,2022-08-01 15:00,21444.0,-0.006406044678055199
60.5,59.28,60.9,58.0,25470.0,151513728.0,2022,8,2,15,0,2022-08-02 15:00,25470.0,0.02016528925619833
59.86,61.48,63.79,59.5,36548.0,226200864.0,2022,8,3,15,0,2022-08-03 15:00,36548.0,-0.027063147343802163
61.48,63.53,64.74,61.48,30734.0,194221056.0,2022,8,4,15,0,2022-08-04 15:00,30734.0,-0.03334417696811978
63.24,70.06,70.89,63.24,81901.0,560428224.0,2022,8,5,15,0,2022-08-05 15:00,81901.0,-0.10784313725490197
71.37,67.17,72.0,66.23,64342.0,436503552.0,2022,8,8,15,0,2022-08-08 15:00,64342.0,0.05884825556956708
66.94,70.88,72.0,66.0,60800.0,419598048.0,2022,8,9,15,0,2022-08-09 15:00,60800.0,-0.05885867941440093
69.06,69.59,72.88,69.04,54348.0,383296800.0,2022,8,10,15,0,2022-08-10 15:00,54348.0,-0.007674485954242704
69.83,69.79,70.88,69.03,37041.0,259319600.0,2022,8,11,15,0,2022-08-11 15:00,37041.0,0.0005728197049977379
69.7,67.65,70.18,67.5,39315.0,268717184.0,2022,8,12,15,0,2022-08-12 15:00,39315.0,0.02941176470588231
66.3,64.92,67.29,64.75,36131.0,236555296.0,2022,8,15,15,0,2022-08-15 15:00,36131.0,0.020814479638008983
65.25,63.93,66.1,63.66,26822.0,173528336.0,2022,8,16,15,0,2022-08-16 15:00,26822.0,0.02022988505747127
63.99,63.5,64.37,62.91,21998.0,139642448.0,2022,8,17,15,0,2022-08-17 15:00,21998.0,0.007657446476011908
63.37,63.64,63.99,62.06,26841.0,169243056.0,2022,8,18,15,0,2022-08-18 15:00,26841.0,-0.004260691178791276
63.29,61.18,65.09,61.1,31842.0,199603680.0,2022,8,19,15,0,2022-08-19 15:00,31842.0,0.0333386000948017
60.63,61.11,61.87,60.1,13704.0,83754768.0,2022,8,22,15,0,2022-08-22 15:00,13704.0,-0.007916872835230033
60.85,60.6,61.58,60.15,14317.0,86710280.0,2022,8,23,15,0,2022-08-23 15:00,14317.0,0.004108463434675432
60.7,58.13,60.7,58.04,23752.0,139821536.0,2022,8,24,15,0,2022-08-24 15:00,23752.0,0.04233937397034597
