open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
55.99,57.79,58.5,55.83,27547.0,158869664.0,2023,1,16,15,0,2023-01-16 15:00,27547.0
57.99,58.05,59.42,57.52,20689.0,121012992.0,2023,1,17,15,0,2023-01-17 15:00,20689.0
58.55,58.5,59.17,58.04,16386.0,96114528.0,2023,1,18,15,0,2023-01-18 15:00,16386.0
58.1,61.0,61.0,58.07,28934.0,173912816.0,2023,1,19,15,0,2023-01-19 15:00,28934.0
61.02,61.03,61.63,60.51,18461.0,112711728.0,2023,1,20,15,0,2023-01-20 15:00,18461.0
65.5,64.31,65.98,63.56,50901.0,329053152.0,2023,1,30,15,0,2023-01-30 15:00,50901.0
64.0,62.1,64.78,61.88,28410.0,178354192.0,2023,1,31,15,0,2023-01-31 15:00,28410.0
62.0,64.74,65.98,62.0,44080.0,283995040.0,2023,2,1,15,0,2023-02-01 15:00,44080.0
66.0,69.9,74.69,65.71,92851.0,661459264.0,2023,2,2,15,0,2023-02-02 15:00,92851.0
69.88,71.11,72.78,69.84,81695.0,582621696.0,2023,2,3,15,0,2023-02-03 15:00,81695.0
73.1,72.84,74.96,71.05,105267.0,771667392.0,2023,2,6,15,0,2023-02-06 15:00,105267.0
71.31,75.7,80.88,71.31,151267.0,1150227072.0,2023,2,7,15,0,2023-02-07 15:00,151267.0
78.0,74.8,82.3,74.8,139144.0,1091894144.0,2023,2,8,15,0,2023-02-08 15:00,139144.0
73.21,79.07,80.0,72.55,148113.0,1135510656.0,2023,2,9,15,0,2023-02-09 15:00,148113.0
78.4,79.11,83.63,77.7,138060.0,1115193984.0,2023,2,10,15,0,2023-02-10 15:00,138060.0
79.0,87.5,91.5,78.0,159399.0,1364494336.0,2023,2,13,15,0,2023-02-13 15:00,159399.0
87.5,85.48,89.58,83.69,111158.0,953211392.0,2023,2,14,15,0,2023-02-14 15:00,111158.0
85.8,89.1,90.87,83.0,153615.0,1335392768.0,2023,2,15,15,0,2023-02-15 15:00,153615.0
86.8,80.5,88.29,80.08,144126.0,1212872832.0,2023,2,16,15,0,2023-02-16 15:00,144126.0
80.81,80.0,82.42,78.23,91713.0,736979968.0,2023,2,17,15,0,2023-02-17 15:00,91713.0
80.8,82.45,83.4,78.59,74552.0,604991104.0,2023,2,20,15,0,2023-02-20 15:00,74552.0
82.6,85.3,87.95,82.0,89152.0,765921024.0,2023,2,21,15,0,2023-02-21 15:00,89152.0
83.08,84.4,86.33,82.77,57623.0,485270560.0,2023,2,22,15,0,2023-02-22 15:00,57623.0
84.9,83.22,86.25,82.05,66727.0,559685888.0,2023,2,23,15,0,2023-02-23 15:00,66727.0
86.5,87.93,89.28,85.3,106247.0,930572928.0,2023,2,24,15,0,2023-02-24 15:00,106247.0
